k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium
3,275.3323651,275.3323651,281.1984778,318.4313229,302.1111661,278.2657118,281.8201735,286.4234041,341.0641999,278.0302648,341.7219373
3,279.8759435,278.4243441,281.2731004,328.13189,303.8586138,279.3013959,282.8026285,281.4825772,343.7839056,277.678566,339.1785936
3,285.5534916,285.5534916,277.4805121,315.4853307,295.7879908,280.5130938,277.1951395,273.4066662,313.4002674,278.1468442,312.7329158
3,282.3173205,279.2858295,275.6105713,331.3302671,304.9885066,276.6973702,279.0005222,276.8656872,342.1917962,273.5853422,345.1915961
3,282.390038,282.390038,285.1787635,331.685585,313.952055,271.319217,290.6497301,279.7059448,353.2526972,272.3428217,349.6411479
3,287.2297177,283.1270498,279.0110142,327.7284682,306.5339317,283.6771149,282.4194229,280.3786974,337.1348458,277.7253615,333.1965139
3,280.0694215,280.0694215,279.5301951,342.0025295,313.9640078,279.4155659,281.7382625,281.2630772,351.4725862,278.2023191,349.3389091
3,283.5524683,283.5524683,275.7427775,324.1610606,302.3129062,281.6472534,273.8555104,278.4057817,338.2563031,273.7196369,337.6400393
3,294.0855364,294.0855364,285.0360285,305.6568678,295.332143,301.2400349,285.4112761,285.8777654,311.7729009,292.7424073,309.5502865
3,274.6598722,274.6598722,277.5459846,327.2058431,307.2835955,279.2416304,280.2756857,282.3891726,339.7462329,275.6182696,340.2968653
3,295.3078549,295.3078549,286.8658296,326.3187878,308.2809044,291.5569122,289.7902861,288.9765115,331.2949181,286.7822874,331.0699919
3,258.1468827,258.1468827,269.9906181,355.7670884,323.1005385,264.4456747,280.4044643,271.9937781,380.4836143,261.1324343,380.1101214
3,285.1456346,285.1456346,289.2903808,305.6445403,300.6548415,284.3318029,285.4642623,283.5332722,323.1759797,279.3720797,320.3471209
3,271.3441454,268.6645687,270.4924653,345.0833384,310.695017,265.5638476,277.8667893,271.4187852,359.0417275,265.4066183,357.9325667
3,274.9107992,274.9107992,276.6822388,342.4709505,317.2388331,272.3259547,280.7568867,278.4827744,354.4542115,270.6374687,351.2014317
3,271.5586279,271.5586279,280.7171699,334.3608778,307.6993205,276.2525777,284.7196237,277.9275937,348.6886961,274.8372515,343.4256347
3,288.3314294,288.3314294,288.1260904,318.6489888,304.2326201,285.1518387,285.8854509,290.3446266,319.1881854,281.9513707,314.6329123
3,258.258279,257.7495628,261.9608884,348.6626513,317.6426264,262.1448543,274.5754587,269.7081344,378.3309871,257.946239,379.9878839
3,280.7197273,275.842941,278.382027,348.8577884,320.033409,277.5081069,282.9249002,279.8451848,358.9894955,273.3808387,353.4504999
3,276.3118066,274.5694773,276.828573,337.1786046,313.5015978,282.4435088,283.2897591,286.6122292,361.6150778,272.7765519,360.1394917
3,288.3389922,288.3389922,286.3474053,326.0008069,306.0971336,281.8090481,287.5895021,286.1849289,334.3477827,281.623311,330.2530226
